age	inflection
76	53.3333333333333
70	29.7597042513863
58	55.3191489361702
22	53.4883720930233
58	57.8947368421053
22	77.7777777777778
83	42.8934010152284
23	63.8297872340425
76	31.7073170731707
23	60.0
56	87.5
58	61.7021276595745
46	85.9154929577465
53	52.0
76	37.5
83	30.3370786516854
56	46.6666666666667
71	57.1788413098237
53	41.0714285714286
71	25.8064516129032
83	44.8275862068965
53	45.1612903225806
20	42.5
21	57.4074074074074
58	53.6585365853659
20	58.8235294117647
23	42.3076923076923
20	43.3962264150943
56	29.7872340425532
22	44.1860465116279
83	36.4406779661017
58	50.0
83	35.1464435146444
56	68.75
58	36.3636363636364
22	81.8181818181818
53	51.8518518518519
71	66.6666666666667
71	50.0
46	77.5510204081633
22	68.3908045977011
71	39.5348837209302
71	47.0588235294118
71	40.4624277456647
23	72.9166666666667
56	64.7058823529412
56	60.2941176470588
53	27.4193548387097
22	33.3333333333333
56	83.3333333333333
76	39.0243902439024
23	42.1052631578947
83	22.8346456692913
53	41.1764705882353
58	58.0
22	57.1428571428571
21	39.6551724137931
70	39.3939393939394
70	17.8571428571429
22	39.7727272727273
22	53.3333333333333
56	47.3684210526316
70	27.9503105590062
53	56.4102564102564
23	60.4651162790698
70	46.6321243523316
22	75.9259259259259
53	40.9090909090909
53	48.8888888888889
83	58.8803088803089
20	50.0
53	40.7407407407407
23	52.2727272727273
71	54.3147208121827
20	50.8474576271187
53	61.4035087719298
71	30.0
21	75.0
56	53.8461538461538
58	59.0909090909091
70	38.4057971014493
53	40.0
56	53.5211267605634
53	41.5384615384615
83	6.84931506849315
53	41.4634146341463
58	31.5789473684211
23	63.1578947368421
46	75.9259259259259
23	63.8297872340425
70	45.5445544554455
46	55.0
53	56.5217391304348
70	11.070110701107
23	50.0
58	41.3793103448276
56	62.962962962963
70	28.099173553719
21	50.9803921568627
22	63.8297872340426
71	40.8163265306122
58	50.0
71	31.3984168865435
71	38.4615384615385
20	52.2727272727273
83	55.3571428571429
22	41.2621359223301
83	50.5747126436782
53	41.1764705882353
70	24.0
56	68.2539682539683
71	35.5555555555556
22	36.5853658536585
76	31.0344827586207
