age	slope	inflection
76	2.23075168984893	53.3333333333333
70	2.27683588216684	29.7597042513863
58	8.48548437948143	55.3191489361702
22	-0.0819150983594605	53.4883720930233
58	5.78298930468287	57.8947368421053
22	7.49563154528601	77.7777777777778
83	2.05120721343333	42.8934010152284
23	6.430734280795	63.8297872340425
76	4.84116323369662	31.7073170731707
23	15.1002890007258	60.0
56	4.77981474640793	87.5
58	2.71295099704142	61.7021276595745
46	2.91288968024135	85.9154929577465
53	15.9247442059137	52.0
76	3.3874575978716	37.5
83	10.9448446879286	30.3370786516854
56	9.67218247964836	46.6666666666667
71	9.24682053612921	57.1788413098237
53	3.6689340859136	41.0714285714286
71	17.4993324120595	25.8064516129032
83	20.1381480363796	44.8275862068965
53	3.42764142725658	45.1612903225806
20	4.60888618783888	42.5
21	-1.29943384601754	57.4074074074074
58	5.85706662063287	53.6585365853659
20	5.57233717826855	58.8235294117647
23	13.6109082095575	42.3076923076923
20	2.08340598736853	43.3962264150943
56	10.2145371319646	29.7872340425532
22	7.40383065837071	44.1860465116279
83	9.8223758302413	36.4406779661017
58	5.9512834315094	50.0
83	3.81469858913279	35.1464435146444
56	5.41640989964864	68.75
58	12.4704110289277	36.3636363636364
22	-1.95807988533798	81.8181818181818
53	2.52494859421771	51.8518518518519
71	0.501039129473707	66.6666666666667
71	3.23076106643845	50.0
46	5.51598461564477	77.5510204081633
22	3.41298353101616	68.3908045977011
71	2.05661476923593	39.5348837209302
71	5.61240091503687	47.0588235294118
71	-1.51211315965495	40.4624277456647
23	6.60698820963014	72.9166666666667
56	4.19639501948339	64.7058823529412
56	5.88573548375283	60.2941176470588
53	6.90978150788572	27.4193548387097
22	11.1782015185125	33.3333333333333
56	11.3372500548306	83.3333333333333
76	4.20901496631997	39.0243902439024
23	7.12209467857341	42.1052631578947
83	9.63374996577406	22.8346456692913
53	13.2726869815389	41.1764705882353
58	6.60760937343265	58.0
22	1.55007458066932	57.1428571428571
21	-4.93487989913022	39.6551724137931
70	6.80771977002492	39.3939393939394
70	20.090949866906	17.8571428571429
22	3.62679310226226	39.7727272727273
22	2.55287514785435	53.3333333333333
56	9.32939009203305	47.3684210526316
70	14.5417108561633	27.9503105590062
53	16.1808720669846	56.4102564102564
23	7.16980256268703	60.4651162790698
70	14.7608032543468	46.6321243523316
22	4.82180671347546	75.9259259259259
53	18.2889526529863	40.9090909090909
53	5.69550724748853	48.8888888888889
83	5.40731164088678	58.8803088803089
20	7.80584989813651	50.0
53	9.4204274378349	40.7407407407407
23	4.15714479251752	52.2727272727273
71	-4.12712099389354	54.3147208121827
20	-0.127712216642908	50.8474576271187
53	9.26112025277503	61.4035087719298
71	8.6798110892832	30.0
21	1.49925691972097	75.0
56	7.98020738040945	53.8461538461538
58	5.40819172612591	59.0909090909091
70	14.2448271076412	38.4057971014493
53	9.44977017891666	40.0
56	4.06336150899846	53.5211267605634
53	3.62273992351081	41.5384615384615
83	13.8505052775729	6.84931506849315
53	21.3914951974202	41.4634146341463
58	10.5010224448702	31.5789473684211
23	4.52966937300827	63.1578947368421
46	2.15701867040444	75.9259259259259
23	1.74919025091565	63.8297872340425
70	10.5472098400287	45.5445544554455
46	1.27420958550507	55.0
53	8.46792114657065	56.5217391304348
70	21.0618257297675	11.070110701107
23	2.49263021511751	50.0
58	12.9889082022423	41.3793103448276
56	10.6605944898551	62.962962962963
70	9.73328462451181	28.099173553719
21	0.456544755901389	50.9803921568627
22	2.46160961729659	63.8297872340426
71	6.37777128665011	40.8163265306122
58	6.21574889267092	50.0
71	4.61287308569531	31.3984168865435
71	4.68472288929013	38.4615384615385
20	16.8852540783356	52.2727272727273
83	4.86019113914231	55.3571428571429
22	5.26971340036456	41.2621359223301
