age	slope
76	2.23075168984893
70	2.27683588216684
58	8.48548437948143
22	-0.0819150983594605
58	5.78298930468287
22	7.49563154528601
83	2.05120721343333
23	6.430734280795
76	4.84116323369662
23	15.1002890007258
56	4.77981474640793
58	2.71295099704142
46	2.91288968024135
53	15.9247442059137
76	3.3874575978716
83	10.9448446879286
56	9.67218247964836
71	9.24682053612921
53	3.6689340859136
71	17.4993324120595
83	20.1381480363796
53	3.42764142725658
20	4.60888618783888
21	-1.29943384601754
58	5.85706662063287
20	5.57233717826855
23	13.6109082095575
20	2.08340598736853
56	10.2145371319646
22	7.40383065837071
83	9.8223758302413
58	5.9512834315094
83	3.81469858913279
56	5.41640989964864
58	12.4704110289277
22	-1.95807988533798
53	2.52494859421771
71	0.501039129473707
71	3.23076106643845
46	5.51598461564477
22	3.41298353101616
71	2.05661476923593
71	5.61240091503687
71	-1.51211315965495
23	6.60698820963014
56	4.19639501948339
56	5.88573548375283
53	6.90978150788572
22	11.1782015185125
56	11.3372500548306
76	4.20901496631997
23	7.12209467857341
83	9.63374996577406
53	13.2726869815389
58	6.60760937343265
22	1.55007458066932
21	-4.93487989913022
70	6.80771977002492
70	20.090949866906
22	3.62679310226226
22	2.55287514785435
56	9.32939009203305
70	14.5417108561633
53	16.1808720669846
23	7.16980256268703
70	14.7608032543468
22	4.82180671347546
53	18.2889526529863
53	5.69550724748853
83	5.40731164088678
20	7.80584989813651
53	9.4204274378349
23	4.15714479251752
71	-4.12712099389354
20	-0.127712216642908
53	9.26112025277503
71	8.6798110892832
21	1.49925691972097
56	7.98020738040945
58	5.40819172612591
70	14.2448271076412
53	9.44977017891666
56	4.06336150899846
53	3.62273992351081
83	13.8505052775729
53	21.3914951974202
58	10.5010224448702
23	4.52966937300827
46	2.15701867040444
23	1.74919025091565
70	10.5472098400287
46	1.27420958550507
53	8.46792114657065
70	21.0618257297675
23	2.49263021511751
58	12.9889082022423
56	10.6605944898551
70	9.73328462451181
21	0.456544755901389
22	2.46160961729659
71	6.37777128665011
58	6.21574889267092
71	4.61287308569531
71	4.68472288929013
20	16.8852540783356
83	4.86019113914231
22	5.26971340036456
83	8.20869193608082
53	10.5272368929358
70	11.8244561118082
56	6.23592692641205
71	7.91538055420477
22	7.81149305881034
76	3.14142910434134
53	12.670496973362
76	4.53436654163641
21	1.30656073941499
56	4.74937628979969
58	7.42332244699457
70	11.3207428840909
70	9.41076646875237
71	9.98988943043901
71	6.63234613572699
23	3.23250671741558
71	4.93168242691621
70	18.6968101157986
71	15.7409890089552
56	7.46000853734342
46	5.15434988772157
53	10.0567217708427
58	8.48530721202084
53	13.2227606220722
58	14.0710077234693
56	6.25637191551086
56	6.4979265359139
70	16.1366797880866
22	7.85874236680224
21	2.52665965630085
22	-1.51224125670563
58	5.8467022926743
71	7.27206604551454
20	-3.047738667997
83	12.43699485669
53	10.3946427814781
76	6.91812301197661
56	10.1998390297066
70	5.29006289358466
58	18.8132733837507
56	8.84069315821378
83	6.68924800384863
53	3.3977760156938
71	14.9454113733886
83	11.4145114306345
53	6.74980297520472
58	12.4381038045879
53	10.9793988106366
46	-0.539822976709902
22	11.4623739820206
53	20.9186272072881
58	11.4082979095288
22	3.99660335881752
56	8.2753067446851
76	0.175992194092488
23	3.80182577640492
22	1.66131997721736
23	7.63412002680244
22	5.12066163496937
76	-1.07314719374555
20	1.93433467415865
56	9.08066046044515
71	20.6042390687959
22	3.79191305928817
76	7.5053513967284
46	0.259077245338386
70	8.27724645565158
70	20.1731254029689
53	1.82752517193911
22	2.7199178011991
22	7.21672816910571
22	3.12966524614129
20	12.1027944764559
83	8.11516584603673
76	10.2820496866809
23	10.2375885981781
83	15.4063072745355
71	1.19965931853765
83	7.84292975924392
23	11.3088092831201
83	12.8990580403971
23	1.83367374214187
23	3.25810189640673
22	2.93694413244395
22	-0.624510859390542
21	5.10958799926176
22	6.84723099632248
58	9.68905362153697
23	2.63465077578558
22	-1.89899825568021
70	6.40627389296157
76	7.3402841167755
56	3.63550353998641
71	3.71558205094006
20	9.24075591696367
56	9.87590519190043
23	7.16087460340626
71	12.1537847432575
56	9.39738311619312
71	8.15431277104118
58	10.6687404588692
20	3.56892370151083
56	5.41275032014647
58	8.48769475888705
56	11.8173490214198
23	7.23073895268254
22	2.98766201977853
23	5.69596245606814
53	9.34676512069813
58	4.53085823760252
22	2.35741891937765
56	11.788385362203
22	-3.53232565335832
53	13.5335004700874
22	4.2071204105952
83	14.2145466942568
22	4.50508066904688
46	10.2934189499604
56	7.39989965304747
58	6.91917767653243
58	11.1031139314659
22	8.30403100120993
22	8.09287245270759
71	14.7700297540955
23	7.59492164367356
53	2.98603853652561
71	6.3370920532094
71	8.48016470362143
46	-3.85855316686819
53	11.4051386338958
76	2.41314686709743
83	7.08358535869018
23	8.8322569319954
58	11.112365263893
56	6.92836968311574
22	2.22873624687637
71	6.13040797656925
76	2.6633723432387
22	3.68487389283977
22	1.91224426478314
70	10.8330888937594
56	6.66062216995296
